Date,Carnation,Normandy Park,Sammamish,Covington,Kent,Issaquah,Renton,Bothell,Kirkland,Federal Way,Shoreline,SeaTac,Beaux Arts Village,Medina,Algona,Black Diamond,Newcastle,Snoqualmie,Yarrow Point,Milton,Duvall,Enumclaw,North Bend,Burien  ,Tukwila,Lake Forest Park,Clyde Hill,Mercer Island,Bellevue,Woodinville,Redmond,Hunts Point,Maple Valley,Kenmore,Pacific,Auburn,Skykomish,Des Moines,Seattle
2017-12-04,0,1,9,4,46,15,52,8,28,49,17,38,0,0,0,1,1,2,1,2,1,1,2,20,32,3,0,4,66,6,21,0,4,7,2,44,0,9,259
2017-12-11,0,0,9,6,67,10,31,15,32,51,20,25,0,1,1,1,1,1,0,1,0,0,0,13,35,3,1,6,62,6,26,0,6,7,2,43,0,4,238
2017-12-18,0,1,8,8,59,25,50,20,25,55,17,30,0,0,2,1,2,2,0,1,1,0,4,23,57,3,0,12,72,9,25,0,5,8,2,41,0,6,271
2017-12-25,0,1,3,6,58,7,36,5,14,45,8,29,0,0,1,0,2,1,0,3,0,1,3,14,33,2,0,5,33,4,12,0,4,5,0,21,0,5,177
2018-01-01,0,0,8,7,52,11,41,8,19,41,17,24,0,0,0,0,1,2,0,1,2,4,0,10,22,4,0,4,50,2,9,0,1,4,1,33,0,5,224
2018-01-08,1,0,9,9,68,15,66,12,32,62,20,24,0,0,2,2,1,3,0,3,0,3,1,16,33,1,1,12,64,5,26,1,5,4,6,37,0,4,261
2018-01-15,0,3,5,5,57,11,52,21,17,41,12,17,0,0,1,1,1,1,0,4,0,1,1,15,26,2,0,4,54,3,23,0,4,2,2,32,0,3,237
2018-01-22,0,1,9,7,75,9,45,14,29,47,22,25,0,0,1,1,0,2,0,0,0,4,1,21,21,1,0,4,63,5,13,1,7,4,0,33,0,9,305
2018-01-29,0,0,5,11,67,10,58,20,25,41,16,25,0,1,2,1,2,1,1,1,2,4,3,13,31,3,0,7,64,6,19,0,6,5,2,33,0,7,239
2018-02-05,0,0,6,3,54,11,26,12,21,28,10,21,0,0,1,1,1,1,0,0,2,2,0,12,20,5,1,4,52,5,17,0,6,5,4,27,0,3,204
2018-02-12,0,1,6,1,59,9,43,9,16,55,14,10,0,0,2,1,1,0,0,0,0,3,3,14,36,4,1,8,50,4,14,0,2,5,4,33,0,7,232
2018-02-19,0,4,3,9,61,8,44,6,18,46,14,38,0,0,1,0,2,0,0,1,0,1,0,17,30,2,0,4,44,4,24,0,5,3,2,22,0,3,166
2018-02-26,0,0,6,7,57,11,51,7,20,44,14,27,0,1,1,0,1,1,0,0,0,2,0,22,33,3,0,9,51,7,17,0,2,0,1,20,0,8,270
2018-03-05,0,2,7,5,49,8,62,7,18,41,14,21,0,0,4,0,3,5,0,0,1,4,1,15,31,6,0,4,56,4,17,0,4,4,1,23,0,5,225
2018-03-12,0,0,3,2,71,17,47,10,26,40,22,22,0,0,2,2,1,0,0,3,1,1,1,16,39,1,0,7,48,4,13,0,4,2,2,28,0,8,221
2018-03-19,0,1,7,4,76,8,48,9,16,43,19,21,0,0,2,0,1,0,0,1,1,1,2,11,32,3,0,6,34,2,11,0,7,7,0,37,0,4,229
2018-03-26,0,1,4,4,54,9,34,10,22,28,9,20,0,0,0,0,3,0,0,0,1,1,5,5,19,3,0,5,42,8,9,0,7,3,0,21,0,5,217
2018-04-02,0,1,6,7,71,7,42,6,19,34,13,28,0,0,1,0,2,1,0,0,0,1,2,12,26,0,0,8,64,7,14,0,3,5,5,43,0,5,227
2018-04-09,0,0,7,3,66,6,40,7,28,54,12,23,0,0,0,0,0,1,0,2,0,4,2,18,45,1,1,3,44,5,25,1,1,5,0,41,0,7,265
2018-04-16,0,1,5,5,57,8,50,11,19,33,13,34,0,0,0,0,0,3,0,1,0,0,2,13,24,3,1,11,40,3,17,0,4,5,0,31,1,5,204
2018-04-23,0,0,7,8,57,14,38,10,27,38,9,20,0,0,2,0,4,0,0,1,2,3,2,18,34,1,0,5,49,9,21,0,10,8,1,30,0,7,234
2018-04-30,0,0,7,4,51,4,32,6,30,51,9,18,0,0,1,0,2,2,0,1,0,1,0,6,29,2,0,9,34,5,26,0,2,7,1,34,0,8,220
2018-05-07,1,1,5,2,56,9,48,10,22,53,10,19,1,2,1,1,2,2,0,2,0,2,1,12,25,2,1,5,44,2,25,1,2,5,2,33,0,5,239
2018-05-14,0,0,6,8,45,10,30,12,21,46,17,25,0,0,1,1,0,1,0,0,1,2,1,17,33,1,0,4,53,3,17,0,1,1,4,28,0,6,223
2018-05-21,0,1,4,6,53,12,25,9,23,41,11,13,0,1,2,0,0,0,0,1,0,5,0,18,23,0,0,4,51,0,15,0,2,1,2,29,0,12,172
2018-05-28,0,1,1,1,23,3,9,2,5,12,0,6,0,0,1,0,0,1,0,0,0,0,1,2,11,2,0,0,17,1,4,0,1,1,0,10,0,0,94
2018-06-04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
2018-06-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
